City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,akureyri,65.6835,-18.0878,48.13,53,0,8.05,IS,1691542920
342,nkhata bay,-11.6066,34.2907,66.87,67,8,6.44,MW,1691542920
343,bereznik,62.8551,42.7072,54.27,96,0,4.45,RU,1691542920
344,fauske,67.2588,15.3918,68.45,78,15,11.16,NO,1691542921
345,oppdal,62.5943,9.6912,52.79,91,100,7.18,NO,1691542921
346,hauterive,46.0901,3.4459,59.76,62,93,3.87,FR,1691542923
347,pandan,14.0453,124.1694,87.4,68,40,8.14,PH,1691542924
348,la sarre,48.8002,-79.1996,63.27,79,22,4.88,CA,1691542797
349,kuchaman,27.15,74.85,77.11,83,89,13.13,IN,1691542925
350,malindi,-3.2175,40.1191,75.34,86,24,16.15,KE,1691542925
351,vila franca do campo,37.7167,-25.4333,73.81,89,93,9.55,PT,1691542926
352,vila velha,-20.3297,-40.2925,73.35,89,40,14.97,BR,1691542926
353,broome,42.2506,-75.833,66.58,91,75,12.66,US,1691542927
354,shingu,33.7333,135.9833,82.33,92,36,8.34,JP,1691542927
355,nelidovo,56.2211,32.7774,54.75,83,90,3.56,RU,1691542927
356,buala,-8.145,159.5921,82.54,76,94,9.35,SB,1691542928
357,richards bay,-28.783,32.0377,66.49,78,90,14.0,ZA,1691542928
358,sur,22.5667,59.5289,86.07,60,2,8.66,OM,1691542928
359,fortuna,40.5982,-124.1573,65.32,77,20,12.66,US,1691542928
360,arari,-3.4536,-44.78,78.66,82,72,4.92,BR,1691542928
361,crane,31.3974,-102.3501,99.66,22,15,16.02,US,1691542929
362,dado,7.05,124.4597,85.08,69,100,0.78,PH,1691542929
363,grand falls-windsor,48.9332,-55.6649,53.51,87,100,3.22,CA,1691542929
364,morant bay,17.8815,-76.4093,87.42,83,9,6.98,JM,1691542929
